Account,Amount Paid,Risk_Score,Is Laundering
80374F790,28380.37,56.15384615384615,0
80011FF00,7615.71,55.0,0
800121350,8515.85,55.0,0
800122AA0,19185.73,55.0,0
9EDC46F50,3132.37,55.0,0
80012DA00,17944.91,55.0,0
80625C440,148101.56,55.0,0
9E1432AC0,2226.36,55.0,0
9159BF840,668.26,55.0,0
8106171C0,100897.18,55.0,0
803F12B20,10726.05,55.0,0
8209ABDF0,1080.37,55.0,0
8002DA450,29620.199999999997,55.0,0
80028FEA0,11025.73,55.0,0
8005FF5F0,7258.49,55.0,0
89DE206D0,736.9300000000001,55.0,0
800209FC0,19261.42,55.0,0
800261A70,8477.1,55.0,0
8F8457FB0,1136.1799999999998,55.0,0
975996120,931.1600000000001,55.0,0
A4DDF97C0,18762.440000000002,55.0,0
9CC8A8070,760.21,55.0,0
9F61D23E0,765.55,55.0,0
80023E980,10935.8,55.0,0
800249A90,2009.12,55.0,0
A471987C0,1757.02,55.0,0
A434C4C60,1691.8,55.0,0
8BEDF5870,17205.18,55.0,0
957DD88C0,658.53,55.0,0
84D09F1E0,1133.77,55.0,0
80327A4D0,5285.16,55.0,0
95D1D32B0,2827.25,55.0,0
803E39F20,29499.739999999998,55.0,0
800324FC0,1178.02,55.0,0
8E8918D20,32298.13,55.0,0
83AF514D0,1020.56,55.0,0
8002F6F20,18011.059999999998,55.0,0
9B54452F0,2067.06,55.0,0
A04370C10,11862.34,55.0,0
805396F40,3550.91,55.0,0
805397180,35468.57,55.0,0
950CD7C70,877.15,55.0,0
8053A6AC0,4201.9,55.0,0
926082FF0,4584.9,55.0,0
92DE90370,1815.54,55.0,0
8099F8DF0,2636.67,55.0,0
9FB5597F0,50728.159999999996,55.0,0
81855AB70,29940.329999999998,55.0,0
99EF23E50,34818.75,55.0,0
9F3FCD9D0,3506.3599999999997,55.0,0
80011EFA0,1355.31,40.0,0
88C4B34E0,424.52,40.0,0
820952510,293.17,40.0,0
A26B55230,517.28,40.0,0
85962EB00,442.36,40.0,0
8001C65D0,3882.79,40.0,0
8BF8F95C0,600.28,40.0,0
8001D6550,1536.65,40.0,0
83583A130,357.56,40.0,0
8001F4BE0,15719.01,40.0,0
8BF8FECE0,1523.19,40.0,0
80021D280,1477.71,40.0,0
A26D5BFB0,291.71,40.0,0
8C80B6F60,1298.64,40.0,0
80022EA30,12420.88,40.0,0
8C80B9C70,428.44,40.0,0
A26E98580,296.55,40.0,0
80024AB60,1277.33,40.0,0
91B0CAE60,1870.28,40.0,0
900F0D800,580.87,40.0,0
8F415A9A0,1669.21,40.0,0
85964D190,450.86,40.0,0
841C9F630,407.97,40.0,0
91C8E1AD0,430.56,40.0,0
8BF9EF370,387.97,40.0,0
A26F55ED0,385.4,40.0,0
A27732F00,434.57,40.0,0
8B9D8EA30,395.22,40.0,0
883D25C40,1785.34,40.0,0
A7C61B560,921.52,40.0,0
8D30F32F0,459.19,40.0,0
84D619600,402.71,40.0,0
82B7662E0,660.35,40.0,0
8AB92EAB0,454.13,40.0,0
894B29B10,295.2,40.0,0
8AB939200,301.99,40.0,0
922D52BC0,1960.26,40.0,0
A2785B900,799.07,40.0,0
A28087040,319.15,40.0,0
84D62BA80,3573.22,40.0,0
8D876A200,32183.68,40.0,0
8165FD020,1061.56,40.0,0
8D876D7F0,1552.36,40.0,0
894B93C50,415.26,40.0,0
A286189B0,4352.5,40.0,0
820BA5AA0,707.77,40.0,0
8C816BE60,376.27,40.0,0
912838630,457.56,40.0,0
8FABDE960,395.16,40.0,0
84D6D85B0,293.74,40.0,0
864E28BC0,2565.41,40.0,0
8B322B000,362.75,40.0,0
8B9DB9A20,3684.07,40.0,0
80B720290,399.22,40.0,0
924C45FA0,952.16,40.0,0
82B8274D0,299.04,40.0,0
894BB12E0,295.62,40.0,0
8166A7A70,2224.19,40.0,0
8166A7C50,4025.59,40.0,0
8166A8AC0,1264.15,40.0,0
800466670,9125.22,40.0,0
8166A8CA0,1128.14,40.0,0
8166AAB60,2277.19,40.0,0
89C99FD60,339.54,40.0,0
90B8DD500,379.17,40.0,0
80B87C870,290.29,40.0,0
835AB5280,377.43,40.0,0
8166BF7D0,4946.44,40.0,0
8166C0090,3973.29,40.0,0
8166C00E0,3831.6,40.0,0
8166C0270,3565.44,40.0,0
8166C07C0,3448.49,40.0,0
8166C0A80,4023.77,40.0,0
A28619B90,4915.56,40.0,0
8166C0CA0,4842.17,40.0,0
8166C0D90,160465.93,40.0,0
8166C1ED0,4130.97,40.0,0
864E3CD80,721.99,40.0,0
8BFB8FD20,502.61,40.0,0
8FAC23880,498.62,40.0,0
91C9365C0,367.53,40.0,0
917C1B740,762.06,40.0,0
82B9287E0,2826.84,40.0,0
A28619BE0,2383.57,40.0,0
A2861A180,3290.43,40.0,0
864F1AAA0,311.51,40.0,0
8BFBCE960,2104.62,40.0,0
92B1AD3C0,676.55,40.0,0
A2861E6C0,852.81,40.0,0
80B9A6290,398.78,40.0,0
8D88A12E0,1736.19,40.0,0
80B9E6BC0,475.02,40.0,0
900FF2DE0,390.37,40.0,0
86505AF10,466.82,40.0,0
835BAC8A0,577.69,40.0,0
87AE7EBB0,364.26,40.0,0
80BA3DCF0,1521.63,40.0,0
80BA45A10,470.05,40.0,0
8650FBE30,3123.65,40.0,0
